material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1217777,SrZnIn3,"In, Sr, Zn",3,0.0,Tetragonal,107,I4mm,0.0,True,True,0.32294891236850454,Sr: 0.2000; Zn: 0.2000; In: 0.6000
mp-11879,BaNiSn3,"Ba, Ni, Sn",3,0.0,Tetragonal,107,I4mm,0.0,False,True,0.4234430304066888,Ba: 0.2000; Ni: 0.2000; Sn: 0.6000
mp-1070573,LaAl3Cu,"Al, Cu, La",3,0.0,Tetragonal,107,I4mm,0.0,False,True,0.2586580754587028,La: 0.2000; Al: 0.6000; Cu: 0.2000
mp-11269,BaSn3Pd,"Ba, Pd, Sn",3,0.0,Tetragonal,107,I4mm,0.0,False,True,0.46145855718579976,Ba: 0.2000; Sn: 0.6000; Pd: 0.2000
mp-1226791,CaAl3Au,"Al, Au, Ca",3,0.0,Tetragonal,107,I4mm,0.0,True,True,0.4932585528908749,Ca: 0.2000; Al: 0.6000; Au: 0.2000
mp-21660,HfGa2Co,"Co, Ga, Hf",3,0.0,Tetragonal,107,I4mm,0.0,False,True,0.23270152556440188,Hf: 0.2500; Ga: 0.5000; Co: 0.2500
mp-1218236,SrIn3Au,"Au, In, Sr",3,0.0,Tetragonal,107,I4mm,0.0,True,True,0.5030944245367862,Sr: 0.2000; In: 0.6000; Au: 0.2000
mp-1227072,CaGa3Pt,"Ca, Ga, Pt",3,0.0,Tetragonal,107,I4mm,0.0,True,True,0.4132505293402538,Ca: 0.2000; Ga: 0.6000; Pt: 0.2000
mp-1218359,SrAl3Ag,"Ag, Al, Sr",3,0.0,Tetragonal,107,I4mm,0.0,True,True,0.32089873792210527,Sr: 0.2000; Al: 0.6000; Ag: 0.2000
mp-1227995,BaIn3Pt,"Ba, In, Pt",3,0.002311426500001712,Tetragonal,107,I4mm,0.0,True,True,0.4498177408684544,Ba: 0.2000; In: 0.6000; Pt: 0.2000
mp-1228096,K4Cu4Sn7,"Cu, K, Sn",3,0.0,Tetragonal,111,P-42m,0.7216,True,False,0.49509595029650566,K: 0.2667; Cu: 0.2667; Sn: 0.4667
mp-1218786,Sr2Mg3In5,"In, Mg, Sr",3,0.01724783999999957,Tetragonal,115,P-4m2,0.0,True,True,0.3313623394412829,Sr: 0.2000; Mg: 0.3000; In: 0.5000
mp-1228403,Ba2Ga7Ag,"Ag, Ba, Ga",3,0.008028120333336553,Tetragonal,115,P-4m2,0.0,True,True,0.37568071550187404,Ba: 0.2000; Ga: 0.7000; Ag: 0.1000
mp-1223052,La2ZnBi4,"Bi, La, Zn",3,0.0,Tetragonal,115,P-4m2,0.0,True,True,0.4021320729332996,La: 0.2857; Zn: 0.1429; Bi: 0.5714
mp-1220675,Nb2(AlGa)3,"Al, Ga, Nb",3,0.009516227500000696,Tetragonal,115,P-4m2,0.0,True,True,0.08958236433584457,Nb: 0.5000; Al: 0.2500; Ga: 0.2500
mp-1227351,Ca2Ga7Ag,"Ag, Ca, Ga",3,0.0,Tetragonal,115,P-4m2,0.0,True,True,0.33190360046254397,Ca: 0.2000; Ga: 0.7000; Ag: 0.1000
mp-1223437,La2Ga7Co,"Co, Ga, La",3,0.053426811999996104,Tetragonal,115,P-4m2,0.0,True,True,0.28824468772208095,La: 0.2000; Ga: 0.7000; Co: 0.1000
mp-1223339,La2Ga5Cu3,"Cu, Ga, La",3,0.002513400000015764,Tetragonal,115,P-4m2,0.0,True,True,0.3000416637735499,La: 0.2000; Ga: 0.5000; Cu: 0.3000
mp-1218558,Sr4Sn9Au7,"Au, Sn, Sr",3,0.010807606750005139,Tetragonal,115,P-4m2,0.0,True,True,0.5672380452684747,Sr: 0.2000; Sn: 0.4500; Au: 0.3500
mp-1223453,La2Ga5Au3,"Au, Ga, La",3,0.027713350437953643,Tetragonal,115,P-4m2,0.0,True,True,0.5047385461800991,La: 0.2000; Ga: 0.5000; Au: 0.3000
mp-1215365,Zr5AlNi4,"Al, Ni, Zr",3,0.05074680850000313,Tetragonal,118,P-4n2,0.0,True,True,0.2734958866235468,Zr: 0.5000; Al: 0.1000; Ni: 0.4000
mp-571443,SrMgIn3,"In, Mg, Sr",3,0.0,Tetragonal,119,I-4m2,0.0,False,True,0.3381715540964379,Sr: 0.2000; Mg: 0.2000; In: 0.6000
mp-1222026,Mn2GaNi,"Ga, Mn, Ni",3,0.0848165949999995,Tetragonal,119,I-4m2,0.0,True,True,0.15898113095584643,Mn: 0.5000; Ga: 0.2500; Ni: 0.2500
mp-1223040,LaGa3Ni,"Ga, La, Ni",3,0.03819668966666967,Tetragonal,119,I-4m2,0.0,True,True,0.29654004788561017,La: 0.2000; Ga: 0.6000; Ni: 0.2000
mp-1227390,BaTlIn3,"Ba, In, Tl",3,0.012278902500000743,Tetragonal,119,I-4m2,0.0,True,True,0.3456009259246856,Ba: 0.2000; Tl: 0.2000; In: 0.6000
