material_id,formula,elements,theoretical,valence_info,VEC_count
mp-1183458,Ca2CdHg,"Ca, Cd, Hg",True,"Ca: 2 (Valence: 2), Cd: 1 (Valence: 12), Hg: 1 (Valence: 12)",7.0
mp-1183688,CrGaRu2,"Cr, Ga, Ru",True,"Cr: 1 (Valence: 6), Ga: 1 (Valence: 3), Ru: 2 (Valence: 8)",6.25
mp-1186107,NaBiPd2,"Bi, Na, Pd",True,"Na: 1 (Valence: 1), Bi: 1 (Valence: 5), Pd: 2 (Valence: 10)",6.5
mp-982666,LiAl2Tc,"Al, Li, Tc",True,"Li: 1 (Valence: 1), Al: 2 (Valence: 3), Tc: 1 (Valence: 7)",3.5
mp-30570,CrGaFe2,"Cr, Fe, Ga",False,"Cr: 1 (Valence: 6), Ga: 1 (Valence: 3), Fe: 2 (Valence: 8)",6.25
mp-862629,ScRh2Pb,"Pb, Rh, Sc",True,"Sc: 1 (Valence: 3), Rh: 2 (Valence: 9), Pb: 1 (Valence: 4)",6.25
mp-865893,LiZr2Tc,"Li, Tc, Zr",True,"Li: 1 (Valence: 1), Zr: 2 (Valence: 4), Tc: 1 (Valence: 7)",4.0
mp-983598,Ca2AgBi,"Ag, Bi, Ca",True,"Ca: 2 (Valence: 2), Ag: 1 (Valence: 11), Bi: 1 (Valence: 5)",5.0
mp-1185622,MgZrZn2,"Mg, Zn, Zr",True,"Mg: 1 (Valence: 2), Zr: 1 (Valence: 4), Zn: 2 (Valence: 12)",7.5
mp-1186938,Sc2CdAu,"Au, Cd, Sc",True,"Sc: 2 (Valence: 3), Cd: 1 (Valence: 12), Au: 1 (Valence: 11)",7.25
mp-971739,ZnCuPt2,"Cu, Pt, Zn",True,"Zn: 1 (Valence: 12), Cu: 1 (Valence: 11), Pt: 2 (Valence: 10)",10.75
mp-971754,V2ReW,"Re, V, W",True,"V: 2 (Valence: 5), Re: 1 (Valence: 7), W: 1 (Valence: 6)",5.75
mp-865050,HfMgRh2,"Hf, Mg, Rh",True,"Hf: 1 (Valence: 4), Mg: 1 (Valence: 2), Rh: 2 (Valence: 9)",6.0
mp-1187922,ZnInRh2,"In, Rh, Zn",True,"Zn: 1 (Valence: 12), In: 1 (Valence: 3), Rh: 2 (Valence: 9)",8.25
mp-20567,LiGa2Ru,"Ga, Li, Ru",False,"Li: 1 (Valence: 1), Ga: 2 (Valence: 3), Ru: 1 (Valence: 8)",3.75
mp-1187431,Ti2CuIr,"Cu, Ir, Ti",True,"Ti: 2 (Valence: 4), Cu: 1 (Valence: 11), Ir: 1 (Valence: 9)",7.0
mp-1185621,MgZn2Ir,"Ir, Mg, Zn",True,"Mg: 1 (Valence: 2), Zn: 2 (Valence: 12), Ir: 1 (Valence: 9)",8.75
mp-1184594,Hf2TcPd,"Hf, Pd, Tc",True,"Hf: 2 (Valence: 4), Tc: 1 (Valence: 7), Pd: 1 (Valence: 10)",6.25
mp-1187940,Zr2CuRe,"Cu, Re, Zr",True,"Zr: 2 (Valence: 4), Cu: 1 (Valence: 11), Re: 1 (Valence: 7)",6.5
mp-867914,LaMgAg2,"Ag, La, Mg",True,"La: 1 (Valence: 3), Mg: 1 (Valence: 2), Ag: 2 (Valence: 11)",6.75
mp-862546,Sc2AlRu,"Al, Ru, Sc",True,"Sc: 2 (Valence: 3), Al: 1 (Valence: 3), Ru: 1 (Valence: 8)",4.25
mp-1185995,MnPd2Au,"Au, Mn, Pd",True,"Mn: 1 (Valence: 7), Pd: 2 (Valence: 10), Au: 1 (Valence: 11)",9.5
mp-1193121,Ti6Al16Ir7,"Al, Ir, Ti",False,"Ti: 6 (Valence: 4), Al: 16 (Valence: 3), Ir: 7 (Valence: 9)",4.655172413793103
mp-865872,LiZr2Re,"Li, Re, Zr",True,"Li: 1 (Valence: 1), Zr: 2 (Valence: 4), Re: 1 (Valence: 7)",4.0
mp-861629,LiMnPd2,"Li, Mn, Pd",True,"Li: 1 (Valence: 1), Mn: 1 (Valence: 7), Pd: 2 (Valence: 10)",7.0
mp-1183516,Ca2AgRh,"Ag, Ca, Rh",True,"Ca: 2 (Valence: 2), Ag: 1 (Valence: 11), Rh: 1 (Valence: 9)",6.0
mp-862657,LiCuPd2,"Cu, Li, Pd",True,"Li: 1 (Valence: 1), Cu: 1 (Valence: 11), Pd: 2 (Valence: 10)",8.0
mp-1186015,MnZnPt2,"Mn, Pt, Zn",True,"Mn: 1 (Valence: 7), Zn: 1 (Valence: 12), Pt: 2 (Valence: 10)",9.75
mp-1188002,Zr2TcOs,"Os, Tc, Zr",True,"Zr: 2 (Valence: 4), Tc: 1 (Valence: 7), Os: 1 (Valence: 8)",5.75
mp-1185374,LiMgPb2,"Li, Mg, Pb",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2), Pb: 2 (Valence: 4)",2.75
mp-865653,TiNbRe2,"Nb, Re, Ti",True,"Ti: 1 (Valence: 4), Nb: 1 (Valence: 5), Re: 2 (Valence: 7)",5.75
mp-867208,Sr2LiIn,"In, Li, Sr",True,"Sr: 2 (Valence: 2), Li: 1 (Valence: 1), In: 1 (Valence: 3)",2.0
mp-977436,ZrAlRu2,"Al, Ru, Zr",True,"Zr: 1 (Valence: 4), Al: 1 (Valence: 3), Ru: 2 (Valence: 8)",5.75
mp-864988,Mn2AlCr,"Al, Cr, Mn",True,"Mn: 2 (Valence: 7), Al: 1 (Valence: 3), Cr: 1 (Valence: 6)",5.75
mp-1185454,LiScIn2,"In, Li, Sc",True,"Li: 1 (Valence: 1), Sc: 1 (Valence: 3), In: 2 (Valence: 3)",2.5
mp-867163,Sr2AgPt,"Ag, Pt, Sr",True,"Sr: 2 (Valence: 2), Ag: 1 (Valence: 11), Pt: 1 (Valence: 10)",6.25
