material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1211956,K2Na4ZnSn2,"K, Na, Sn, Zn",4,0.0,Monoclinic,14,P2_1/c,0.5203999999999998,True,False,0.46382734122638325,K: 0.2222; Na: 0.4444; Zn: 0.1111; Sn: 0.2222
mp-1215402,ZrGa6(FeCo)3,"Co, Fe, Ga, Zr",4,0.029820183510490317,Triclinic,2,P-1,0.0,True,True,0.15592020751368665,Zr: 0.1111; Ga: 0.6667; Fe: 0.1111; Co: 0.1111
mp-1216162,YFe5Co5Mo2,"Co, Fe, Mo, Y",4,0.037858450769231666,Triclinic,2,P-1,0.0,True,True,0.21402316967974128,Y: 0.0769; Fe: 0.3846; Co: 0.3846; Mo: 0.1538
mp-1215819,YV2(FeCo)5,"Co, Fe, V, Y",4,0.053727012120727835,Orthorhombic,44,Imm2,0.0,True,True,0.2324994623649698,Y: 0.2000; V: 0.4000; Fe: 0.2000; Co: 0.2000
mp-1216155,YFe6Co5W,"Co, Fe, W, Y",4,0.053095247596150585,Orthorhombic,44,Imm2,0.0,True,True,0.22587895381187667,Y: 0.0769; Fe: 0.4615; Co: 0.3846; W: 0.0769
mp-1215977,YMg(CoNi)2,"Co, Mg, Ni, Y",4,0.011073739950978378,Orthorhombic,44,Imm2,0.0,True,True,0.3167806812291431,Y: 0.2500; Mg: 0.2500; Co: 0.2500; Ni: 0.2500
mp-1216006,YFe6Co5Re,"Co, Fe, Re, Y",4,0.06688715721153748,Orthorhombic,44,Imm2,0.0,True,True,0.1716505325521706,Y: 0.0769; Fe: 0.4615; Co: 0.3846; Re: 0.0769
mp-1195406,LaMgAl7Fe2,"Al, Fe, La, Mg",4,0.008206712727270471,Orthorhombic,55,Pbam,0.0,False,True,0.19873567311530924,La: 0.0909; Mg: 0.0909; Al: 0.6364; Fe: 0.1818
mp-1012640,CrFeCoNi,"Co, Cr, Fe, Ni",4,0.06658532291666752,Monoclinic,6,Pm,0.0,True,True,0.09669539802906858,Cr: 0.2500; Fe: 0.2500; Co: 0.2500; Ni: 0.2500
mp-1224683,MgSc8Ga15Cu29,"Cu, Ga, Mg, Sc",4,0.08510933660377429,Monoclinic,6,Pm,0.0,True,True,0.1972935424716997,Mg: 0.0189; Sc: 0.1509; Ga: 0.2830; Cu: 0.5472
mp-568329,K3Na2SnBi3,"Bi, K, Na, Sn",4,0.0,Orthorhombic,73,Ibca,0.0026999999999999247,False,False,0.56865229455157,K: 0.3333; Na: 0.2222; Sn: 0.1111; Bi: 0.3333
mp-1218470,SrCa(Ni2Sn)4,"Ca, Ni, Sn, Sr",4,0.0012239425000002413,Tetragonal,97,I422,0.0,True,True,0.4668447279342458,Sr: 0.2000; Ca: 0.2000; Ni: 0.4000; Sn: 0.2000
mp-1223353,KRb(InAu2)4,"Au, In, K, Rb",4,0.005465618928571114,Tetragonal,97,I422,0.0,True,True,0.7702467137222982,K: 0.2000; Rb: 0.2000; In: 0.2000; Au: 0.4000
mp-1225915,La2Al6CuAu,"Al, Au, Cu, La",4,0.0033723500000029105,Tetragonal,99,P4mm,0.0,True,True,0.382779309785678,La: 0.2000; Al: 0.6000; Cu: 0.1000; Au: 0.1000
mp-1224737,Fe2CuNiPt4,"Cu, Fe, Ni, Pt",4,0.03267459375000037,Tetragonal,99,P4mm,0.0,True,True,0.20796258677944926,Fe: 0.2500; Cu: 0.1250; Ni: 0.1250; Pt: 0.5000
mp-1224198,K4Ba2SnBi4,"Ba, Bi, K, Sn",4,0.0,Monoclinic,8,Cm,0.09889999999999999,True,False,0.5806593573311278,K: 0.3636; Ba: 0.1818; Sn: 0.0909; Bi: 0.3636
mp-1215301,ZrTi(CrFe)2,"Cr, Fe, Ti, Zr",4,0.07369118666666985,Monoclinic,8,Cm,0.0,True,True,0.18207141456033124,Zr: 0.2500; Ti: 0.2500; Cr: 0.2500; Fe: 0.2500
