material_id,formula,elements,theoretical,valence_info,VEC_count
mp-1215402,ZrGa6(FeCo)3,"Co, Fe, Ga, Zr",True,"Zr: 1 (Valence: 4), Ga: 6 (Valence: 3), Fe: 1 (Valence: 8), Co: 1 (Valence: 9)",4.333333333333333
mp-1216162,YFe5Co5Mo2,"Co, Fe, Mo, Y",True,"Y: 1 (Valence: 3), Fe: 5 (Valence: 8), Co: 5 (Valence: 9), Mo: 2 (Valence: 6)",7.6923076923076925
mp-1215819,YV2(FeCo)5,"Co, Fe, V, Y",True,"Y: 1 (Valence: 3), V: 2 (Valence: 5), Fe: 1 (Valence: 8), Co: 1 (Valence: 9)",6.0
mp-1216155,YFe6Co5W,"Co, Fe, W, Y",True,"Y: 1 (Valence: 3), Fe: 6 (Valence: 8), Co: 5 (Valence: 9), W: 1 (Valence: 6)",7.846153846153846
mp-1215977,YMg(CoNi)2,"Co, Mg, Ni, Y",True,"Y: 1 (Valence: 3), Mg: 1 (Valence: 2), Co: 1 (Valence: 9), Ni: 1 (Valence: 10)",6.0
mp-1216006,YFe6Co5Re,"Co, Fe, Re, Y",True,"Y: 1 (Valence: 3), Fe: 6 (Valence: 8), Co: 5 (Valence: 9), Re: 1 (Valence: 7)",7.923076923076923
mp-1195406,LaMgAl7Fe2,"Al, Fe, La, Mg",False,"La: 1 (Valence: 3), Mg: 1 (Valence: 2), Al: 7 (Valence: 3), Fe: 2 (Valence: 8)",3.8181818181818183
mp-1012640,CrFeCoNi,"Co, Cr, Fe, Ni",True,"Cr: 1 (Valence: 6), Fe: 1 (Valence: 8), Co: 1 (Valence: 9), Ni: 1 (Valence: 10)",8.25
mp-1224683,MgSc8Ga15Cu29,"Cu, Ga, Mg, Sc",True,"Mg: 1 (Valence: 2), Sc: 8 (Valence: 3), Ga: 15 (Valence: 3), Cu: 29 (Valence: 11)",7.3584905660377355
mp-568329,K3Na2SnBi3,"Bi, K, Na, Sn",False,"K: 3 (Valence: 1), Na: 2 (Valence: 1), Sn: 1 (Valence: 4), Bi: 3 (Valence: 5)",2.6666666666666665
mp-1218470,SrCa(Ni2Sn)4,"Ca, Ni, Sn, Sr",True,"Sr: 1 (Valence: 2), Ca: 1 (Valence: 2), Ni: 2 (Valence: 10), Sn: 1 (Valence: 4)",5.6
mp-1223353,KRb(InAu2)4,"Au, In, K, Rb",True,"K: 1 (Valence: 1), Rb: 1 (Valence: 1), In: 1 (Valence: 3), Au: 2 (Valence: 11)",5.4
mp-1225915,La2Al6CuAu,"Al, Au, Cu, La",True,"La: 2 (Valence: 3), Al: 6 (Valence: 3), Cu: 1 (Valence: 11), Au: 1 (Valence: 11)",4.6
mp-1224737,Fe2CuNiPt4,"Cu, Fe, Ni, Pt",True,"Fe: 2 (Valence: 8), Cu: 1 (Valence: 11), Ni: 1 (Valence: 10), Pt: 4 (Valence: 10)",9.625
mp-1224198,K4Ba2SnBi4,"Ba, Bi, K, Sn",True,"K: 4 (Valence: 1), Ba: 2 (Valence: 2), Sn: 1 (Valence: 4), Bi: 4 (Valence: 5)",2.909090909090909
mp-1215301,ZrTi(CrFe)2,"Cr, Fe, Ti, Zr",True,"Zr: 1 (Valence: 4), Ti: 1 (Valence: 4), Cr: 1 (Valence: 6), Fe: 1 (Valence: 8)",5.5
