material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal
mp-771,MnAl,"Al, Mn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-1235,TiIr,"Ir, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-238,MnPd,"Mn, Pd",2,0.0022244234137920316,Tetragonal,123,P4/mmm,0.0,False,True
mp-894,ZnPt,"Pt, Zn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-510436,InPd3,"In, Pd",2,0.025990728749999192,Tetragonal,123,P4/mmm,0.0,False,True
mp-644739,LaGa6,"Ga, La",2,0.0,Tetragonal,125,P4/nbm,0.0,False,True
mp-30681,YGa6,"Ga, Y",2,0.02514581607142885,Tetragonal,125,P4/nbm,0.0,False,True
mp-21296,PtPb4,"Pb, Pt",2,0.0,Tetragonal,125,P4/nbm,0.0,False,True
mp-1202778,K3Cd16,"Cd, K",2,0.0,Tetragonal,126,P4/nnc,0.0,False,True
mp-11288,Ca3Hg2,"Ca, Hg",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-607111,AlPt3,"Al, Pt",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-1079182,AlPt3,"Al, Pt",2,0.013525094375005153,Tetragonal,127,P4/mbm,0.0,False,True
mp-30684,Zr3Ga2,"Ga, Zr",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-1080493,Y3Au2,"Au, Y",2,0.04981915999999842,Tetragonal,127,P4/mbm,0.0,False,True
mp-20405,V2Ga5,"Ga, V",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-1103522,Ga5W2,"Ga, W",2,0.05819230464285852,Tetragonal,127,P4/mbm,0.0,False,True
mp-1105078,Hf3In4,"Hf, In",2,0.07661191571428816,Tetragonal,127,P4/mbm,0.0,False,True
mp-1078957,Ta3Be2,"Be, Ta",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-607225,Mn2Ga5,"Ga, Mn",2,0.032226584285714566,Tetragonal,127,P4/mbm,0.0,False,True
mp-20433,Ti3In4,"In, Ti",2,0.0936128061904764,Tetragonal,127,P4/mbm,0.0,False,True
mp-30721,Hg5Pd2,"Hg, Pd",2,0.03967810749999523,Tetragonal,127,P4/mbm,0.0,False,True
mp-13427,Sr3Hg2,"Hg, Sr",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-11272,Be2Nb3,"Be, Nb",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-1078666,GaPt3,"Ga, Pt",2,0.014097253750001926,Tetragonal,127,P4/mbm,0.0,False,True
mp-669913,Sr2Pb3,"Pb, Sr",2,0.00764726599999932,Tetragonal,127,P4/mbm,0.0,False,True
mp-11393,Nb3Ga2,"Ga, Nb",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-7924,Li2Sn5,"Li, Sn",2,0.0046469228571428545,Tetragonal,127,P4/mbm,0.0,False,True
mp-22050,Hf2In5,"Hf, In",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
