material_id,formula,elements,theoretical,valence_info
mp-861936,LiPd3,"Li, Pd",True,
mp-1197547,Li15Pd4,"Li, Pd",False,
mp-1079855,LiPd7,"Li, Pd",False,
mp-2426,LiAg,"Ag, Li",False,
mp-977126,Li3Ag,"Ag, Li",True,
mp-1018026,LiAg,"Ag, Li",False,
mp-976408,Li3Ag,"Ag, Li",True,
mp-865875,Li3Ag,"Ag, Li",True,
mp-1222584,Li3Ag2,"Ag, Li",True,
mp-1185342,LiAg3,"Ag, Li",True,
mp-1185300,LiAg3,"Ag, Li",True,
mp-862716,LiAg3,"Ag, Li",True,
mp-1222549,Li9Ag4,"Ag, Li",True,
mp-1211140,Li8Ag5,"Ag, Li",True,
mp-975904,Li3Cd,"Cd, Li",True,
mp-867343,Li3Cd,"Cd, Li",True,
mp-1437,LiCd,"Cd, Li",False,
mp-1222405,LiCd3,"Cd, Li",True,
mp-973940,LiCd3,"Cd, Li",True,
mp-865612,LiCd3,"Cd, Li",True,
mp-31324,Li2In,"In, Li",False,
mp-867226,Li3In,"In, Li",True,
mp-976055,Li3In,"In, Li",True,
mp-22460,LiIn,"In, Li",False,
mp-21293,Li3In2,"In, Li",False,
mp-973748,LiIn3,"In, Li",True,
mp-863027,LiIn3,"In, Li",True,
mp-510430,Li13In3,"In, Li",False,
mp-1079408,Li5In4,"In, Li",False,
mp-13444,LiSn,"Li, Sn",False,
mp-1185265,Li3Sn,"Li, Sn",True,
mp-569073,LiSn,"Li, Sn",False,
mp-30767,Li7Sn2,"Li, Sn",False,
mp-30766,Li5Sn2,"Li, Sn",False,
mp-30768,Li7Sn3,"Li, Sn",False,
mp-1185461,LiSn3,"Li, Sn",True,
mp-573471,Li17Sn4,"Li, Sn",False,
mp-7924,Li2Sn5,"Li, Sn",False,
mp-1198729,Li22Sn5,"Li, Sn",False,
mp-30769,Li13Sn5,"Li, Sn",False,
mp-210,BaLi4,"Ba, Li",False,
mp-569841,Ba19Li44,"Ba, Li",False,
mp-279,LiIr,"Ir, Li",False,
mp-30738,LiIr3,"Ir, Li",False,
mp-2170,Li2Pt,"Li, Pt",False,
mp-11807,LiPt,"Li, Pt",False,
mp-867227,Li3Pt,"Li, Pt",True,
mp-976322,Li3Pt,"Li, Pt",True,
mp-30764,LiPt2,"Li, Pt",False,
mp-861931,LiPt3,"Li, Pt",True,
mp-30765,LiPt7,"Li, Pt",False,
mp-1206794,LiAu,"Au, Li",True,
mp-11247,Li3Au,"Au, Li",False,
mp-1185200,Li3Au,"Au, Li",True,
mp-11248,LiAu3,"Au, Li",False,
mp-975909,LiAu3,"Au, Li",True,
mp-1185333,LiAu3,"Au, Li",True,
mp-567395,Li15Au4,"Au, Li",False,
mp-1185205,Li3Hg,"Hg, Li",True,
mp-1646,Li3Hg,"Hg, Li",False,
mp-976047,Li3Hg,"Hg, Li",True,
mp-2012,LiHg,"Hg, Li",False,
mp-976599,LiHg3,"Hg, Li",True,
mp-973824,LiHg3,"Hg, Li",True,
mp-1079267,LiHg3,"Hg, Li",False,
mp-1185337,LiHg3,"Hg, Li",True,
mp-934,LiTl,"Li, Tl",False,
mp-1237690,LiTl,"Li, Tl",False,
mp-1077191,Li2Tl,"Li, Tl",False,
mp-1191883,LiTl,"Li, Tl",False,
mp-7396,Li3Tl,"Li, Tl",False,
mp-12283,Li5Tl2,"Li, Tl",False,
mp-973191,LiTl3,"Li, Tl",True,
mp-1185253,LiTl3,"Li, Tl",True,
mp-2314,LiPb,"Li, Pb",False,
mp-30760,Li3Pb,"Li, Pb",False,
mp-30761,Li7Pb2,"Li, Pb",False,
mp-27587,Li8Pb3,"Li, Pb",False,
mp-1185275,LiPb3,"Li, Pb",True,
mp-504760,Li10Pb3,"Li, Pb",False,
mp-574275,Li17Pb4,"Li, Pb",False,
mp-573651,Li22Pb5,"Li, Pb",False,
mp-2646976,Li3Bi,"Bi, Li",True,
mp-22902,LiBi,"Bi, Li",False,
mp-23222,Li3Bi,"Bi, Li",False,
mp-1185586,Mg149Be,"Be, Mg",True,
mp-855,MgBe13,"Be, Mg",False,
mp-1845,CaBe13,"Be, Ca",False,
mp-11277,ScBe5,"Be, Sc",False,
mp-972891,ScBe13,"Be, Sc",False,
mp-1209010,Sc2Be17,"Be, Sc",True,
mp-978963,Ti3Be,"Be, Ti",True,
mp-1187475,Ti3Be,"Be, Ti",True,
mp-11279,TiBe,"Be, Ti",False,
mp-2749,TiBe2,"Be, Ti",False,
mp-1103465,TiBe3,"Be, Ti",False,
mp-1104067,TiBe12,"Be, Ti",False,
mp-11280,TiBe12,"Be, Ti",False,
mp-1201649,Ti2Be17,"Be, Ti",False,
mp-12648,Ti2Be17,"Be, Ti",False,
mp-11281,Be2V,"Be, V",False,
mp-571438,Be12V,"Be, V",False,
mp-30438,Be2Cr,"Be, Cr",False,
mp-1590,Be12Cr,"Be, Cr",False,
mp-974571,Mn3Be,"Be, Mn",True,
mp-11270,MnBe2,"Be, Mn",False,
mp-973292,MnBe3,"Be, Mn",True,
mp-1104792,MnBe12,"Be, Mn",False,
mp-1227549,BeFe3,"Be, Fe",True,
mp-2225,Be2Fe,"Be, Fe",False,
mp-983590,Be3Fe,"Be, Fe",True,
mp-1025010,Be5Fe,"Be, Fe",False,
mp-1104104,Be12Fe,"Be, Fe",False,
mp-2773,BeCo,"Be, Co",False,
mp-1183423,Be3Co,"Be, Co",True,
mp-1183425,Be3Co,"Be, Co",True,
mp-1071690,Be5Co,"Be, Co",False,
mp-1104193,Be12Co,"Be, Co",False,
mp-1183432,BeNi3,"Be, Ni",True,
mp-984717,BeNi3,"Be, Ni",True,
mp-1033,BeNi,"Be, Ni",False,
mp-984315,Be3Ni,"Be, Ni",True,
mp-865168,Be3Ni,"Be, Ni",True,
mp-2323,BeCu,"Be, Cu",False,
mp-2031,Be2Cu,"Be, Cu",False,
mp-1183404,Be3Cu,"Be, Cu",True,
mp-1227357,Be3Cu,"Be, Cu",True,
mp-2080,SrBe13,"Be, Sr",False,
mp-1193534,YBe13,"Be, Y",False,
mp-1252,ZrBe2,"Be, Zr",False,
mp-11283,ZrBe5,"Be, Zr",False,
mp-30445,ZrBe13,"Be, Zr",False,
mp-2544,Zr2Be17,"Be, Zr",False,
mp-2028,Be2Nb,"Be, Nb",False,
mp-11272,Be2Nb3,"Be, Nb",False,
mp-11273,Be3Nb,"Be, Nb",False,
mp-568912,Be12Nb,"Be, Nb",False,
mp-30441,Be17Nb2,"Be, Nb",False,
mp-1677,Be2Mo,"Be, Mo",False,
mp-1475,Be12Mo,"Be, Mo",False,
mp-30440,Be22Mo,"Be, Mo",False,
mp-977552,Be3Tc,"Be, Tc",True,
mp-1103315,Be2Ru,"Be, Ru",False,
mp-865562,Be3Ru,"Be, Ru",True,
mp-984612,Be3Ru,"Be, Ru",True,
mp-1227382,Be8Ru,"Be, Ru",True,
mp-30443,Be17Ru3,"Be, Ru",False,
mp-11276,BeRh,"Be, Rh",False,
mp-864894,Be3Rh,"Be, Rh",True,
mp-1183411,Be3Rh,"Be, Rh",True,
mp-1227672,Be46Rh7,"Be, Rh",True,
mp-13452,BePd2,"Be, Pd",False,
mp-11274,BePd,"Be, Pd",False,
mp-13453,BePd3,"Be, Pd",False,
mp-1183408,Be3Pd,"Be, Pd",True,
mp-650,Be5Pd,"Be, Pd",False,
mp-12666,Be12Pd,"Be, Pd",False,
mp-603,Be2Ag,"Ag, Be",False,
mp-30425,BaBe13,"Ba, Be",False,
mp-1193251,LaBe13,"Be, La",False,
mp-1018057,HfBe,"Be, Hf",False,
mp-2553,HfBe2,"Be, Hf",False,
mp-2025,HfBe5,"Be, Hf",False,
mp-1878,HfBe13,"Be, Hf",False,
mp-1198059,Hf2Be17,"Be, Hf",False,
mp-1212567,Hf2Be17,"Be, Hf",True,
mp-1105643,Hf2Be17,"Be, Hf",False,
mp-11278,Ta2Be,"Be, Ta",False,
mp-2676,TaBe2,"Be, Ta",False,
mp-1078957,Ta3Be2,"Be, Ta",False,
mp-1102049,TaBe3,"Be, Ta",False,
mp-567842,TaBe12,"Be, Ta",False,
mp-1189402,Ta2Be17,"Be, Ta",False,
mp-11282,Be2W,"Be, W",False,
mp-568827,Be12W,"Be, W",False,
mp-30444,Be22W,"Be, W",False,
mp-11275,Be2Re,"Be, Re",False,
mp-569364,Be22Re,"Be, Re",False,
mp-1199166,Be17Os3,"Be, Os",False,
mp-862714,Be3Ir,"Be, Ir",True,
mp-1227597,Be46Ir7,"Be, Ir",True,
mp-1072399,Be5Pt,"Be, Pt",False,
mp-30365,BeAu,"Au, Be",False,
mp-12761,BeAu2,"Au, Be",False,
mp-1220,Be5Au,"Au, Be",False,
mp-1016323,NaMg7,"Mg, Na",True,
mp-1186271,NaMg149,"Mg, Na",True,
mp-1023499,NaMg15,"Mg, Na",True,
mp-982637,Na3Mg,"Mg, Na",True,
mp-1186056,Na3Mg,"Mg, Na",True,
mp-570786,KNa2,"K, Na",False,
mp-1184893,K3Na,"K, Na",True,
mp-1184844,K3Na,"K, Na",True,
mp-1184919,K3Na,"K, Na",True,
mp-1186032,Na3Ca,"Ca, Na",True,
mp-1186042,Na3Ca,"Ca, Na",True,
mp-977062,Na3Ca,"Ca, Na",True,
mp-1186129,NaCa3,"Ca, Na",True,
mp-1186132,NaCa3,"Ca, Na",True,
mp-1186094,Na3Zn,"Na, Zn",True,
