material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal
mp-1215945,YGa3Cu,"Cu, Ga, Y",3,0.013742773100000605,Tetragonal,119,I-4m2,0.0,True,True
mp-1218230,SrInAu5,"Au, In, Sr",3,0.0,Tetragonal,119,I-4m2,0.0,True,True
mp-1227881,BaMgIn3,"Ba, In, Mg",3,0.0,Tetragonal,119,I-4m2,0.0,True,True
mp-1222853,LaGa3Cu,"Cu, Ga, La",3,0.0,Tetragonal,119,I-4m2,0.0,True,True
mp-1222842,LaGa3Pd,"Ga, La, Pd",3,0.0,Tetragonal,119,I-4m2,0.0,True,True
mp-1222794,LaGa3Pt,"Ga, La, Pt",3,0.0,Tetragonal,119,I-4m2,0.0,True,True
mp-1215933,YAl3Ag,"Ag, Al, Y",3,0.00486114486666267,Tetragonal,119,I-4m2,0.0,True,True
mp-30402,K(SnAu2)2,"Au, K, Sn",3,0.011057364857141927,Tetragonal,120,I-4c2,0.0,False,True
mp-1195947,K23(Sn3Au4)3,"Au, K, Sn",3,0.0,Tetragonal,121,I-42m,0.0,False,True
mp-639910,Y(Sn3Ru2)2,"Ru, Sn, Y",3,0.0,Tetragonal,121,I-42m,0.0,False,True
mp-1206665,La(Sn3Ru2)2,"La, Ru, Sn",3,0.0,Tetragonal,121,I-42m,0.0,True,True
mp-571599,Ba(BiPd)2,"Ba, Bi, Pd",3,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-1080049,Sr(ZnSn)2,"Sn, Sr, Zn",3,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-1199411,La3(GaRu)2,"Ga, La, Ru",3,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-567114,Sr(BiPd)2,"Bi, Pd, Sr",3,0.0,Monoclinic,11,P2_1/m,0.0,False,True
mp-1223139,La4BiPb2,"Bi, La, Pb",3,0.0034080561904721307,Tetragonal,122,I-42d,0.0,True,True
mp-1223111,La4Bi2Pb,"Bi, La, Pb",3,0.005964323809522831,Tetragonal,122,I-42d,0.0,True,True
mp-1223150,La4SnBi2,"Bi, La, Sn",3,0.0019154035714299411,Tetragonal,122,I-42d,0.0,True,True
mp-1213732,CrSn4Au,"Au, Cr, Sn",3,0.0667095831250002,Tetragonal,124,P4/mcc,0.0,True,True
mp-1221656,MnAl2Ni,"Al, Mn, Ni",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1216906,TiInPd2,"In, Pd, Ti",3,0.02645577750000072,Tetragonal,123,P4/mmm,0.0,True,True
mp-1224169,HfTiRu2,"Hf, Ru, Ti",3,0.03254705500000199,Tetragonal,123,P4/mmm,0.0,True,True
mp-1221728,MnCrPt6,"Cr, Mn, Pt",3,0.008186998749998509,Tetragonal,123,P4/mmm,0.0,True,True
mp-1217016,TiAlCo2,"Al, Co, Ti",3,0.08672172499999853,Tetragonal,123,P4/mmm,0.0,True,True
mp-1063566,MgSc2Ru,"Mg, Ru, Sc",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-1221660,MnAl2Cu,"Al, Cu, Mn",3,0.004662129930553149,Tetragonal,123,P4/mmm,0.0,True,True
mp-1215216,ZrNbAl6,"Al, Nb, Zr",3,0.023704568750000377,Tetragonal,123,P4/mmm,0.0,True,True
mp-1206867,Sc2Ga8Co,"Co, Ga, Sc",3,0.0010929618181751977,Tetragonal,123,P4/mmm,0.0,True,True
mp-1224798,Ga2CoNi,"Co, Ga, Ni",3,0.02207934226190389,Tetragonal,123,P4/mmm,0.0,True,True
mp-1228540,Al2VNi9,"Al, Ni, V",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1101092,Y2In8Co,"Co, In, Y",3,0.012039540606059163,Tetragonal,123,P4/mmm,0.0,False,True
mp-20551,GaCo2Ni,"Co, Ga, Ni",3,0.07967344884615457,Tetragonal,123,P4/mmm,0.0,False,True
mp-1220329,NbAl6Mo,"Al, Mo, Nb",3,0.02669873750000029,Tetragonal,123,P4/mmm,0.0,True,True
mp-1217044,TiAlNi6,"Al, Ni, Ti",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1221548,MnTlRh2,"Mn, Rh, Tl",3,0.057016824166666424,Tetragonal,123,P4/mmm,0.0,True,True
mp-1226004,CoNiPt2,"Co, Ni, Pt",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1222139,Mg4CdAg5,"Ag, Cd, Mg",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1018799,MgSc3Ru2,"Mg, Ru, Sc",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-1217071,Ti2CuNi,"Cu, Ni, Ti",3,0.07055507499999969,Tetragonal,123,P4/mmm,0.0,True,True
mp-21479,LaIn5Rh,"In, La, Rh",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-1217893,TaNbAl6,"Al, Nb, Ta",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1224173,HfZn2Ga,"Ga, Hf, Zn",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1217015,TiAl2V,"Al, Ti, V",3,0.023320597916669072,Tetragonal,123,P4/mmm,0.0,True,True
mp-1218140,TaAl4Ni15,"Al, Ni, Ta",3,0.005408968499999389,Tetragonal,123,P4/mmm,0.0,True,True
mp-639659,InCuPt2,"Cu, In, Pt",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-1207127,CuSnPd2,"Cu, Pd, Sn",3,0.06613828374999997,Tetragonal,123,P4/mmm,0.0,True,True
mp-1224993,FeCoPt2,"Co, Fe, Pt",3,0.04885977208333525,Tetragonal,123,P4/mmm,0.0,True,True
mp-1025229,TiGa5Co,"Co, Ga, Ti",3,0.009694247500000586,Tetragonal,123,P4/mmm,0.0,True,True
mp-1222424,Li3Tl2Cd,"Cd, Li, Tl",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1218003,TaAl2Ni9,"Al, Ni, Ta",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1224331,Hf4AgPd,"Ag, Hf, Pd",3,0.0020798783333333404,Tetragonal,123,P4/mmm,0.0,True,True
mp-1215438,Zn2CuNi,"Cu, Ni, Zn",3,0.009078507499999944,Tetragonal,123,P4/mmm,0.0,True,True
mp-570863,CrCoPt2,"Co, Cr, Pt",3,0.03671428916666919,Tetragonal,123,P4/mmm,0.0,False,True
mp-1228905,Al2FeCo,"Al, Co, Fe",3,0.00044176249999949846,Tetragonal,123,P4/mmm,0.0,True,True
mp-1217022,TiAlAu2,"Al, Au, Ti",3,0.042965133124997834,Tetragonal,123,P4/mmm,0.0,True,True
mp-20911,LaIn5Ir,"In, Ir, La",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True
mp-1217285,TiAl4Ni15,"Al, Ni, Ti",3,0.006356241499999804,Tetragonal,123,P4/mmm,0.0,True,True
mp-1215460,Zn2AgAu,"Ag, Au, Zn",3,0.024396187499998945,Tetragonal,123,P4/mmm,0.0,True,True
mp-1228973,Al3ZnCr8,"Al, Cr, Zn",3,0.016436879999998766,Tetragonal,123,P4/mmm,0.0,True,True
mp-1217891,TaTiAl6,"Al, Ta, Ti",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1222616,Li2TlHg,"Hg, Li, Tl",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1216351,VGaNi6,"Ga, Ni, V",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1220476,NbAl2Ni9,"Al, Nb, Ni",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1025176,HfGa5Ni,"Ga, Hf, Ni",3,0.026785833142852766,Tetragonal,123,P4/mmm,0.0,False,True
mp-1217921,TaGaNi6,"Ga, Ni, Ta",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
mp-1228186,Al4Ni3Pt,"Al, Ni, Pt",3,0.034728817187500205,Tetragonal,123,P4/mmm,0.0,True,True
mp-1215496,ZnCdAg2,"Ag, Cd, Zn",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True
