material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference
mp-1228713,Al4Ni15,"Al, Ni",2,0.08960537473684305,Tetragonal,123,P4/mmm,0.0,True,True,0.12230473724865519
mp-1963,NbRh,"Nb, Rh",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.33999999999999986
mp-1225751,Cu3Pd2,"Cu, Pd",2,0.007773933428572022,Tetragonal,123,P4/mmm,0.0,True,True,0.14696938456699082
mp-2685,HgPd,"Hg, Pd",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.10000000000000009
mp-1217113,Ti3Ir2,"Ir, Ti",2,0.05711464100000008,Tetragonal,123,P4/mmm,0.0,True,True,0.3233326460473796
mp-1601,TaRu,"Ru, Ta",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3500000000000001
mp-1206750,CrPt,"Cr, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.30999999999999994
mp-2831,FePd,"Fe, Pd",2,0.008477096666666739,Tetragonal,123,P4/mmm,0.0,False,True,0.18500000000000005
mp-601820,Fe3Co,"Co, Fe",2,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.02165063509461089
mp-1359,NbIr,"Ir, Nb",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.30000000000000004
mp-1018715,Hf5Pb,"Hf, Pb",2,0.06818339500000548,Tetragonal,123,P4/mmm,0.0,True,True,0.3838583361374639
mp-641526,Fe13Co3,"Co, Fe",2,0.0037431268750012237,Tetragonal,123,P4/mmm,0.0,True,True,0.019515618744994925
mp-1224475,HfPt4,"Hf, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.3919999999999999
mp-2213,FeNi,"Fe, Ni",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.039999999999999925
mp-11470,Hg2Pt,"Hg, Pt",2,0.022148594999990223,Tetragonal,123,P4/mmm,0.0,False,True,0.13199326582148876
mp-1225009,Fe3Ni2,"Fe, Ni",2,0.02161789500000033,Tetragonal,123,P4/mmm,0.0,True,True,0.039191835884530776
mp-1696,CdPd,"Cd, Pd",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.2550000000000001
mp-2260,FePt,"Fe, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.22499999999999987
mp-2767,TiGa,"Ga, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.135
mp-1207100,ScIn,"In, Sc",2,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.20999999999999996
mp-1223984,HgPb3,"Hg, Pb",2,0.03839737562499579,Tetragonal,123,P4/mmm,0.0,True,True,0.1428941916244324
mp-11798,Fe3Pt,"Fe, Pt",2,0.042699720000000774,Tetragonal,123,P4/mmm,0.0,True,True,0.19485571585149858
mp-2678,VPt,"Pt, V",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.32499999999999996
mp-1100166,YMg3,"Mg, Y",2,0.03278540500000027,Tetragonal,123,P4/mmm,0.0,True,True,0.038971143170299774
mp-22924,NaBi,"Bi, Na",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.545
