material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1797,MnNi,"Mn, Ni",2,0.036898397356321055,Tetragonal,123,P4/mmm,0.0,False,True,0.1800,Mn: 0.5000; Ni: 0.5000
mp-11870,Hg2Rh,"Hg, Rh",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.1320,Hg: 0.6667; Rh: 0.3333
mp-1652,ZnPd,"Pd, Zn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.2750,Zn: 0.5000; Pd: 0.5000
mp-758104,Mn11Pd21,"Mn, Pd",2,0.0234693900000007,Tetragonal,123,P4/mmm,0.0,False,True,0.3087,Mn: 0.3438; Pd: 0.6562
mp-1001836,MnGa,"Ga, Mn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.1300,Mn: 0.5000; Ga: 0.5000
mp-1953,TiAl,"Al, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.0350,Ti: 0.5000; Al: 0.5000
mp-570199,Ti3Pd5,"Pd, Ti",2,0.0008255312500011769,Tetragonal,123,P4/mmm,0.0,False,True,0.3195,Ti: 0.3750; Pd: 0.6250
mp-1251,VRh,"Rh, V",2,0.04173331499999833,Tetragonal,123,P4/mmm,0.0,False,True,0.3250,V: 0.5000; Rh: 0.5000
mp-1670,MnPt,"Mn, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3650,Mn: 0.5000; Pt: 0.5000
mp-2583,TiRh,"Rh, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3700,Ti: 0.5000; Rh: 0.5000
mp-2510,ZrHg,"Hg, Zr",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3350,Zr: 0.5000; Hg: 0.5000
mp-429,ZnNi,"Ni, Zn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.1300,Zn: 0.5000; Ni: 0.5000
mp-11359,Ga2Cu,"Cu, Ga",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.0424,Ga: 0.6667; Cu: 0.3333
mp-945,NiPt,"Ni, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.1850,Ni: 0.5000; Pt: 0.5000
mp-12675,MnAu,"Au, Mn",2,0.07166042301724218,Tetragonal,123,P4/mmm,0.0,False,True,0.4950,Mn: 0.5000; Au: 0.5000
mp-1281,VIr,"Ir, V",2,0.04575373000000127,Tetragonal,123,P4/mmm,0.0,False,True,0.2850,V: 0.5000; Ir: 0.5000
mp-949,CoPt,"Co, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.2000,Co: 0.5000; Pt: 0.5000
mp-672265,Cu3Pd,"Cu, Pd",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.1299,Cu: 0.7500; Pd: 0.2500
mp-1194,CdPt,"Cd, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.2950,Cd: 0.5000; Pt: 0.5000
mp-771,MnAl,"Al, Mn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.0300,Mn: 0.5000; Al: 0.5000
mp-1235,TiIr,"Ir, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3300,Ti: 0.5000; Ir: 0.5000
mp-238,MnPd,"Mn, Pd",2,0.0022244234137920316,Tetragonal,123,P4/mmm,0.0,False,True,0.3250,Mn: 0.5000; Pd: 0.5000
mp-894,ZnPt,"Pt, Zn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3150,Zn: 0.5000; Pt: 0.5000
mp-510436,InPd3,"In, Pd",2,0.025990728749999192,Tetragonal,123,P4/mmm,0.0,False,True,0.1819,In: 0.2500; Pd: 0.7500
mp-644739,LaGa6,"Ga, La",2,0.0,Tetragonal,125,P4/nbm,0.0,False,True,0.2484,La: 0.1429; Ga: 0.8571
mp-30681,YGa6,"Ga, Y",2,0.02514581607142885,Tetragonal,125,P4/nbm,0.0,False,True,0.2065,Y: 0.1429; Ga: 0.8571
mp-21296,PtPb4,"Pb, Pt",2,0.0,Tetragonal,125,P4/nbm,0.0,False,True,0.0200,Pt: 0.2000; Pb: 0.8000
mp-1202778,K3Cd16,"Cd, K",2,0.0,Tetragonal,126,P4/nnc,0.0,False,True,0.3172,K: 0.1579; Cd: 0.8421
mp-11288,Ca3Hg2,"Ca, Hg",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.4899,Ca: 0.6000; Hg: 0.4000
mp-607111,AlPt3,"Al, Pt",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.2901,Al: 0.2500; Pt: 0.7500
mp-1079182,AlPt3,"Al, Pt",2,0.013525094375005153,Tetragonal,127,P4/mbm,0.0,False,True,0.2901,Al: 0.2500; Pt: 0.7500
mp-30684,Zr3Ga2,"Ga, Zr",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.2352,Zr: 0.6000; Ga: 0.4000
mp-1080493,Y3Au2,"Au, Y",2,0.04981915999999842,Tetragonal,127,P4/mbm,0.0,False,True,0.6467,Y: 0.6000; Au: 0.4000
mp-20405,V2Ga5,"Ga, V",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.0813,V: 0.2857; Ga: 0.7143
mp-1103522,Ga5W2,"Ga, W",2,0.05819230464285852,Tetragonal,127,P4/mbm,0.0,False,True,0.2485,Ga: 0.7143; W: 0.2857
mp-1105078,Hf3In4,"Hf, In",2,0.07661191571428816,Tetragonal,127,P4/mbm,0.0,False,True,0.2375,Hf: 0.4286; In: 0.5714
mp-1078957,Ta3Be2,"Be, Ta",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.0343,Ta: 0.6000; Be: 0.4000
mp-607225,Mn2Ga5,"Ga, Mn",2,0.032226584285714566,Tetragonal,127,P4/mbm,0.0,False,True,0.1175,Mn: 0.2857; Ga: 0.7143
mp-20433,Ti3In4,"In, Ti",2,0.0936128061904764,Tetragonal,127,P4/mbm,0.0,False,True,0.1188,Ti: 0.4286; In: 0.5714
mp-30721,Hg5Pd2,"Hg, Pd",2,0.03967810749999523,Tetragonal,127,P4/mbm,0.0,False,True,0.0904,Hg: 0.7143; Pd: 0.2857
mp-13427,Sr3Hg2,"Hg, Sr",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.5144,Sr: 0.6000; Hg: 0.4000
mp-11272,Be2Nb3,"Be, Nb",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.0147,Be: 0.4000; Nb: 0.6000
mp-1078666,GaPt3,"Ga, Pt",2,0.014097253750001926,Tetragonal,127,P4/mbm,0.0,False,True,0.2035,Ga: 0.2500; Pt: 0.7500
mp-669913,Sr2Pb3,"Pb, Sr",2,0.00764726599999932,Tetragonal,127,P4/mbm,0.0,False,True,0.6761,Sr: 0.4000; Pb: 0.6000
mp-11393,Nb3Ga2,"Ga, Nb",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.1029,Nb: 0.6000; Ga: 0.4000
mp-7924,Li2Sn5,"Li, Sn",2,0.0046469228571428545,Tetragonal,127,P4/mbm,0.0,False,True,0.4427,Li: 0.2857; Sn: 0.7143
mp-22050,Hf2In5,"Hf, In",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.2168,Hf: 0.2857; In: 0.7143
mp-16756,Ta3Ga2,"Ga, Ta",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True,0.1519,Ta: 0.6000; Ga: 0.4000
mp-568404,Li9Al4,"Al, Li",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.2908,Li: 0.6923; Al: 0.3077
mp-568746,Bi2Pd,"Bi, Pd",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0849,Bi: 0.6667; Pd: 0.3333
mp-571060,In9Pt13,"In, Pt",2,0.049124047272719906,Monoclinic,12,C2/m,0.0,False,True,0.2458,In: 0.4091; Pt: 0.5909
mp-30410,Mn2Au5,"Au, Mn",2,0.014431074999997406,Monoclinic,12,C2/m,0.0,False,True,0.4472,Mn: 0.2857; Au: 0.7143
mp-21589,Ga9Ni13,"Ga, Ni",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0492,Ga: 0.4091; Ni: 0.5909
mp-1188069,Zr2Ni7,"Ni, Zr",2,0.0038042649999994183,Monoclinic,12,C2/m,0.0,False,True,0.2411,Zr: 0.2222; Ni: 0.7778
mp-13447,Zn13Rh,"Rh, Zn",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.1622,Zn: 0.9286; Rh: 0.0714
mp-641509,In9Ni13,"In, Ni",2,0.06179680954545219,Monoclinic,12,C2/m,0.0,False,True,0.0639,In: 0.4091; Ni: 0.5909
mp-567207,SrIn4,"In, Sr",2,0.007084296222223063,Monoclinic,12,C2/m,0.0,False,True,0.3320,Sr: 0.2000; In: 0.8000
mp-31019,Al45Cr7,"Al, Cr",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0171,Al: 0.8654; Cr: 0.1346
mp-1077372,Zr2Cu,"Cu, Zr",2,0.04423778166666903,Monoclinic,12,C2/m,0.0,False,True,0.2687,Zr: 0.6667; Cu: 0.3333
mp-30464,Bi2Pd5,"Bi, Pd",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0813,Bi: 0.2857; Pd: 0.7143
mp-31467,Ga3Pd7,"Ga, Pd",2,0.0008468572499964466,Monoclinic,12,C2/m,0.0,False,True,0.1787,Ga: 0.3000; Pd: 0.7000
mp-1205422,Hf2Co7,"Co, Hf",2,0.008048037727270696,Monoclinic,12,C2/m,0.0,False,True,0.2411,Hf: 0.2222; Co: 0.7778
mp-30568,Zn13Co,"Co, Zn",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0592,Zn: 0.9286; Co: 0.0714
mp-20174,Ni3Sn4,"Ni, Sn",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0247,Ni: 0.4286; Sn: 0.5714
mp-2733,Al8Mo3,"Al, Mo",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.2449,Al: 0.7273; Mo: 0.2727
mp-1091391,BaTl4,"Ba, Tl",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.2920,Ba: 0.2000; Tl: 0.8000
mp-583168,NaSn2,"Na, Sn",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.4855,Na: 0.3333; Sn: 0.6667
mp-570920,Ga5Fe6,"Fe, Ga",2,0.031206838323865504,Monoclinic,12,C2/m,0.0,False,True,0.0100,Ga: 0.4545; Fe: 0.5455
mp-2500,AlCu,"Al, Cu",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.1450,Al: 0.5000; Cu: 0.5000
mp-1179520,Sc5Ga3,"Ga, Sc",2,0.007125837812498759,Monoclinic,12,C2/m,0.0,False,True,0.2179,Sc: 0.6250; Ga: 0.3750
mp-567919,Al45V7,"Al, V",2,0.015895317307692558,Monoclinic,12,C2/m,0.0,False,True,0.0068,Al: 0.8654; V: 0.1346
mp-540538,Ga4Fe3,"Fe, Ga",2,0.022887623080357855,Monoclinic,12,C2/m,0.0,False,True,0.0099,Ga: 0.5714; Fe: 0.4286
mp-18654,Cr3Ga4,"Cr, Ga",2,0.08692408904762061,Monoclinic,12,C2/m,0.0,False,True,0.0742,Cr: 0.4286; Ga: 0.5714
mp-17880,Al13Ru4,"Al, Ru",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.2503,Al: 0.7647; Ru: 0.2353
